URL,Title,Sub Title,Rating,"Reviews ",Price,Description and Shipping,ASIN,Image URL
https://www.amazon.com/wild-Color-Powder-Blush-Pearlescent/dp/B082YPZMT6/ref=sr_1_46?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-46,"Wet n Wild Color Icon Blush Powder Makeup, Pearlescent Pink | Matte Natural Glow | Moisturizing Jojoba Oil",1 Count (Pack of 1),4.3 out of 5 stars,"2,156",$3.18,"FREE delivery Tue, Nov 22 on $25 of items shipped by AmazonOr fastest delivery Fri, Nov 18|",B082YPZMT6,https://m.media-amazon.com/images/I/81EACUwSbFL._AC_UL320_.jpg
https://www.amazon.com/l-f-Cosmetics-Palette-Beautiful-Long-Lasting/dp/B00J56D0G6/ref=sr_1_47?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-47,"e.l.f. Cosmetics Powder Blush Palette, Four Blush Shades for Beautiful, Long-Lasting Pigment, Light",1 Count (Pack of 1),4.4 out of 5 stars,"2,999",$8.00,FREE delivery on $25 shipped by Amazon.,B00J56D0G6,https://m.media-amazon.com/images/I/81xqm3K0eqL._AC_UL320_.jpg
https://www.amazon.com/Cannabis-Complexion-Enhancer-Cinnamon-1115236/dp/B0B9RD8D81/ref=sr_1_48?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-48,"Wet n Wild Mood Cannabis Sativa Seed Oil Infused Makeup, Blush Complexion Enhancer Zero F's, Natural Cinnamon Infused (1115236)",$5.69 with Subscribe & Save discountSave 5% on 4 select item(s),4.8 out of 5 stars,29,$5.99,"FREE delivery Tue, Nov 22 on $25 of items shipped by AmazonOr fastest delivery Fri, Nov 18|",B0B9RD8D81,https://m.media-amazon.com/images/I/81bs03zB0oL._AC_UL320_.jpg
https://www.amazon.com/Cushion-Natural-Blusher-Shimmer-Pigmented/dp/B0B5KVRCMM/ref=sr_1_49?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-49,"Loose Powder Blush Air Cushion Blush Natural Blusher Bright Shimmer Face Blush for Cheek Highly Pigmented Blush Makeup Easy to Blend Makeup Blushin, All Day Wear(01#)",1 Count (Pack of 1),5.0 out of 5 stars,6,$8.99,"FREE delivery Tue, Nov 22 on $25 of items shipped by AmazonOr fastest delivery Fri, Nov 18|",B0B5KVRCMM,https://m.media-amazon.com/images/I/51q1gtDA1GL._AC_UL320_.jpg
https://www.amazon.com/YOUNG-VISION-Multi-Use-Lightweight-8054-02/dp/B0B62JG4VT/ref=sr_1_50?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-50,"YOUNG VISION Blush Stick, Putty/Cream Makeup Blush, Multi-Use Lip And Cheek Tint, Lightweight, Matte Finish, Easy to Blend, 8054-02",0.24 Ounce (Pack of 1),4.0 out of 5 stars,407,$5.99,"FREE delivery Tue, Nov 22 on $25 of items shipped by AmazonOr fastest delivery Fri, Nov 18|",B0B62JG4VT,https://m.media-amazon.com/images/I/61+KcpPSl9L._AC_UL320_.jpg
https://www.amazon.com/Honest-Beauty-Creme-Cheek-Blush/dp/B07F45ZXNX/ref=sr_1_51?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&rdc=1&sprefix=blush%2Caps%2C92&sr=8-51,Honest Creme Cheek Blush Plus Lip Color - Rose Pink Women Blush 0.1 oz,0.1 Ounce (Pack of 1),4.4 out of 5 stars,"6,002",$12.99,"FREE delivery Tue, Nov 22 on $25 of items shipped by AmazonOr fastest delivery Fri, Nov 18||Climate Pledge Friendly|Climate Pledge Friendly|Climate Pledge Friendly|<img alt="""" src=""https://m.media-amazon.com/images/I/216-OX9rBaL._SS200_.png"" height=""50px"" width=""50px""/>  Climate Pledge Friendly|<img alt="""" src=""https://m.media-amazon.com/images/I/216-OX9rBaL._SS200_.png"" height=""50px"" width=""50px""/>  Climate Pledge Friendly|<img alt="""" src=""https://m.media-amazon.com/images/I/31OPjlesFNL._SS200_.png"" height=""50px"" width=""50px""/> EWG Verified",B07F45ZXNX,https://m.media-amazon.com/images/I/51Tr1bpPDJL._AC_UL320_.jpg|https://m.media-amazon.com/images/I/216-OX9rBaL._SS200_.png||
https://www.amazon.com/Kokie-Cosmetics-Gradient-Blush-Star-Crossed/dp/B09T2257PH/ref=sr_1_52?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-52,Kokie Cosmetics Soft Gradient Blush (Star-Crossed BL04),1 Count (Pack of 1),4.4 out of 5 stars,347,$9.99,"FREE delivery Tue, Nov 22 on $25 of items shipped by AmazonOr fastest delivery Fri, Nov 18|",B09T2257PH,https://m.media-amazon.com/images/I/81qMbb0nvoL._AC_UL320_.jpg
https://www.amazon.com/NARS-Blush-Orgasm-0-16-oz/dp/B000PVPEFU/ref=sr_1_53_mod_primary_new?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=blush%2Caps%2C92&sr=8-53,"NARS Blush, Orgasm 0.16 oz. (I0006251)",1 Count (Pack of 1),4.7 out of 5 stars,"3,094|Another way to buy|$27.72$27.72 $44.00$44.00|$27.72$27.72 $44.00$44.00|FREE delivery",$25.20,FREE delivery Nov 28 - 29 Or fastest delivery Nov 22 - 28|FREE delivery,B000PVPEFU,https://m.media-amazon.com/images/I/51xBSPghPgL._AC_UL320_.jpg
https://www.amazon.com/Burts-Bees-Natural-Blush-Vitamin/dp/B073X2KX9Z/ref=sr_1_54?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-54,"Burt's Bees 100% Natural Origin Blush with Vitamin E, Shy Pink - 0.19 Ounce",0.19 Ounce (Pack of 1),4.6 out of 5 stars,"1,910",$8.99,"FREE delivery Tue, Nov 22 on $25 of items shipped by AmazonOr fastest delivery Sat, Nov 19|",B073X2KX9Z,https://m.media-amazon.com/images/I/71rVoqCfVzL._AC_UL320_.jpg
https://www.amazon.com/UCANBE-Colors-Palette-Shading-Blusher/dp/B09J51W17H/ref=sr_1_55?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-55,UCANBE 8 Colors Face Matte Blush Palette Shading Blusher with Brush - Buildable Facial Cheek Blusher Contour Bronzing Pressed Powder Makeup Pallet Women Gift Set (01 Matte),2 Piece Set,4.4 out of 5 stars,227,$12.99,"FREE delivery Tue, Nov 22 on $25 of items shipped by AmazonOr fastest delivery Fri, Nov 18|",B09J51W17H,https://m.media-amazon.com/images/I/61lVofkUaNL._AC_UL320_.jpg
https://www.amazon.com/Maybelline-New-York-lightweight-Natural-Looking/dp/B07WC46H1L/ref=sr_1_56?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-56,"Maybelline Cheek Heat Gel-Cream Blush Makeup, lightweight, Breathable Feel, Sheer Flush Of Color, Natural-Looking, Dewy Finish, Oil-Free, Rose Flush, 1 Count",0.27 Fl Oz (Pack of 1),4.0 out of 5 stars,"12,945",$5.98,FREE delivery on $25 shipped by Amazon.,B07WC46H1L,https://m.media-amazon.com/images/I/616-VEcQAUS._AC_UL320_.jpg
