docno,URL,text
d162,https://www.amazon.com/l-f-Cosmetics-Velvety-Lightweight-Pigmented/dp/B08T7CY6JC/ref=sr_1_8?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-8,"e.l.f. Putty Blush Creamy & Ultra Pigmented Formula Infused with Argan Oil & Vitamin E Bora Bora 0.35 Oz (10g) Say hello to that island glow! This lightweight but buildable, putty to powder blush, blends seamlessly into skin. Infused with argan oil and vitamin E for some added nourishment, this silky smooth, buildable formula will give you a flushed-from-within glow. Use with our Putty Blush Brush for easily, flawless application."
d163,https://www.amazon.com/COVERGIRL-Cheekers-Blendable-Natural-Twinkle-12/dp/B000ORPZIG/ref=sr_1_9?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-9,COVERGIRL Cheekers Blendable Powder Blush Natural Twinkle.12 oz 1 Count Product Description
d164,https://www.amazon.com/NewBang-Palette-Highlight-Professional-Cosmetic/dp/B0928HXPKZ/ref=sr_1_10?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-10,NewBang 8 Colors Blush Palette Matte Mineral Blush Powder Bright Shimmer Face BlushContour and Highlight Blush PaletteProfessional Facial Beauty Cosmetic Makeup Blush
d165,https://www.amazon.com/Rimmel-Maxi-Blush-Fluid-Ounce/dp/B07D7JKFDH/ref=sr_1_11?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-11,"Rimmel Maxi Blush Wild Card Live the London look. Rimmel London Maxi Blush Wild Card Powder gives cheeks a burst of color and a captivating glow. Made with a lightweight, pigmented formula, this micro-fine blush powder blends easily and provides buildable results. Just apply with a powder brush over foundation or on bare skin and enjoy long-lasting color. It’s the London look: expression without rules, beauty without a doubt."
d166,https://www.amazon.com/KYDA-Moisturizing-Lightweight-Cruelty-free-Beauty-Happy/dp/B0BF8FWY3S/ref=sr_1_12?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-12,KYDA Blush Beauty Wand Liquid Face Rouge with Cushion Applicator Natural Shimmer Finish Moisturizing Creamy Formula Silky Smooth Lightweight Blendable Glowing Blush Cruelty-free 0.41 fl.oz by Ownest Beauty-Happy Pink
d167,https://www.amazon.com/Bareminerals-Gen-Nude-Powder-Blush/dp/B07982K22S/ref=sr_1_13?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-13,Bare Escentuals bareMinerals Gen Nude Powder Blush for Women 0.21 Ounce Call My Blush A cushiony powder blush with good-for-skin ingredients that gives a natural and buildable flush of color. It provides a beautiful soft-focus effect and radiant-looking complexion.
d168,https://www.amazon.com/LOreal-Match-Blush-Barely-Blushing/dp/B001ADVWZI/ref=sr_1_14?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-14,L'Oreal True Match Blush Barely Blushing [W3-4] 0.21 oz Product Description
d169,https://www.amazon.com/COVERGIRL-Cheekbones-Contouring-Sophisticated-packaging/dp/B001A9GTVE/ref=sr_1_15?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-15,"COVERGIRL Instant Cheekbones Contouring Blush Sophisticated Sable 240 0.29 Ounce1 Count Natural radiance made easy! Just brush on this lightweight, blendable powder blush. Each classic shade sweeps on cleanly, evenly, and comes in a beautiful mirrored compact, for a little lift, a natural glow, effortlessly-and anywhere. Dermatologically tested."
d170,https://www.amazon.com/Color-Ombre-316B-Princess-Diaquiries/dp/B01BHFLB72/ref=sr_1_16?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-16,"Wet N Wild Color Icon Ombre Blush 316B The Princess Diaquiries Wet N Wild Color Icon Ombre Blush, 316B The Princess Diaquiries"
d171,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzAyNjc2OTM2MDAyNDEwOjE2Njg2MjU4MzM6c3BfbXRmOjIwMDA3OTk1MzQwNDg5ODo6MDo6&url=%2FFOCALLURE-Highlighter-Water-resistant-Lightweight-LIGHT-MEDIUM%2Fdp%2FB0B31LP6XV%2Fref%3Dsr_1_17_sspa%3Fcrid%3D32KL6R446VQOI%26keywords%3Dblush%26qid%3D1668625833%26sprefix%3Dblush%252Caps%252C92%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,FOCALLURE 3 Pcs Cream Contour SticksShades with Highlighter & Bronzer & BlushNon-greasy and Water-resistant Face Contouring PenEasy to Sculpt the Face and Create a Lightweight Finishing MakeupFAIR
d172,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzAyNjc2OTM2MDAyNDEwOjE2Njg2MjU4MzM6c3BfbXRmOjIwMDA4NjkyNjgxNDE5ODo6MDo6&url=%2FFOCALLURE-Highlighter-Cruelty-Free-Illuminator-Highlighters%2Fdp%2FB096S9F5GD%2Fref%3Dsr_1_18_sspa%3Fcrid%3D32KL6R446VQOI%26keywords%3Dblush%26qid%3D1668625833%26sprefix%3Dblush%252Caps%252C92%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,FOCALLURE Blush and Highlighter Palette3 in 1 Makeup Powder PaletteCruelty-Free Matte BlushShimmer Illuminator Highlighters for a Glowing Look#03
d173,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzAyNjc2OTM2MDAyNDEwOjE2Njg2MjU4MzM6c3BfbXRmOjIwMDA5NTA3NDEwNjU5ODo6MDo6&url=%2FBrushes-Eyeshadow-Foundation-Beginners-YUESHENNAN%2Fdp%2FB0BD5KVZLP%2Fref%3Dsr_1_19_sspa%3Fcrid%3D32KL6R446VQOI%26keywords%3Dblush%26qid%3D1668625833%26sprefix%3Dblush%252Caps%252C92%26sr%3D8-19-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,7Pcs Makeup Brushes Premium Eyeshadow Brush Foundation Brush Make Up Brushes Blush Brush Eye Brush Tools for Beginners by YUESHENNAN(pink).
d174,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzAyNjc2OTM2MDAyNDEwOjE2Njg2MjU4MzM6c3BfbXRmOjIwMDEwMTk1MTc3MTA5ODo6MDo6&url=%2FFOCALLURE-Buildable-Wearing-Application-Lightweight%2Fdp%2FB0BD6Z1X24%2Fref%3Dsr_1_20_sspa%3Fcrid%3D32KL6R446VQOI%26keywords%3Dblush%26qid%3D1668625833%26sprefix%3Dblush%252Caps%252C92%26sr%3D8-20-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,FOCALLURE Cream Blush MakeupBuildable Blush Stick for CheeksMatte and Dewy FinishLong WearingEasy ApplicationLightweight Multi StickBABY PINK
d175,https://www.amazon.com/wild-Blushlighter-Blush-Highlighter-Flash/dp/B082YQ6JDQ/ref=sr_1_21?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-21,"wet n wild MegaGlo Blushlighter| Blush & Highlighter Duo| Shimmer Metallic Finish| Flash Me A blush and highlighter duo that instantly sculpts, defines, and highlights in one sweep. These soft, buildable shades contain ultra-reflective, micro-fine pearl pigments that create a luminous, radiant glow and blend to a perfect finish. Each duo has two levels of intensity for color that compliments every skin tone. Sweep on the two colors, Using them alone or blended together for contouring, or layer them on top of each other. Available in 3 cruelty-free, gluten-free and fragrance-free duo shades."
d176,https://www.amazon.com/TINTARK-Compact-Blusher-Palette-Natural/dp/B0B3WQ6HLC/ref=sr_1_22?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-22,TINTARK Cheeky Blush Compact for Face Cheeks Talc Free Blusher Palette Matte Powder Makeup Natural Healthy Mauve Pink Magenta Peach Red Vegan Cruelty Free
d177,https://www.amazon.com/Seamlessly-Blendable-Natural-Buildable-Moisturizing/dp/B09NXM7XDX/ref=sr_1_23?crid=32KL6R446VQOI&keywords=blush&qid=1668625833&sprefix=blush%2Caps%2C92&sr=8-23,"Blush By Wet n Wild Color Icon Pink Blush Powder Makeup Nudist Society Matte Natural Glow Moisturizing Jojoba Oil Achieve color perfection with the help of this highly pigmented blush. Velvety-soft and buildable, this pressed powder blush is easy to layer on your skin for a gorgeous flush of color across the cheeks. Build it up from sheer to bold as it seamlessly blends for a flawless finish. Whether you’re a makeup newbie or a social media veteran, you’ll understand in an instant why this blush is considered a “Color Icon”."
